page,cta_type,label,placement,visual_priority,clarity_score,desirability_score,contrast_score,accessibility_score,current_state,improvement_needed,recommendation
LandingPage,primary,"Get Started",Hero section,high,75,70,80,unknown,good,"Make more specific (e.g., 'Start Your Journey Free'); add urgency; test color variants"
LandingPage,primary,"Book a Session",Services section,high,75,65,80,unknown,partial,"Backend stubbed - remove or mark 'Coming Soon'; add pricing context"
LandingPage,secondary,"Learn More",Multiple sections,medium,70,60,75,unknown,good,"Add specific value proposition; link to relevant content"
LandingPage,tertiary,"View Plans",CTA section,medium,65,60,70,unknown,fair,"Add pricing preview; strengthen value proposition"
LoginPage,primary,"Login",Form submit,high,90,85,85,unknown,excellent,"Add password visibility toggle; improve error states"
LoginPage,secondary,"Continue with Google",OAuth section,medium,85,80,80,unknown,good,"Add Microsoft OAuth; clarify data usage"
LoginPage,secondary,"Continue with Apple",OAuth section,medium,85,80,80,unknown,good,"Properly implement OAuth flow"
LoginPage,tertiary,"Forgot Password?",Form helper,low,80,75,75,unknown,fair,"Non-functional - implement password reset flow"
SignupPage,primary,"Create Account",Form submit,high,85,80,85,unknown,good,"Add password requirements inline; improve validation feedback"
SignupPage,secondary,"Continue with Google",OAuth section,medium,80,75,80,unknown,good,"Implement full OAuth flow"
SignupPage,secondary,"Continue with Apple",OAuth section,medium,80,75,80,unknown,good,"Implement full OAuth flow"
SignupPage,navigation,"Next Step",Multi-step form,high,80,75,80,unknown,good,"Add progress indicator; show step summary"
JourneyPreparationPage,primary,"Begin Journey",Onboarding complete,high,75,70,80,unknown,good,"Add celebration animation; clarify next steps"
DashboardPage,primary,"Track Mood",Quick actions,high,80,75,80,unknown,good,"Add mood trend preview; improve icon clarity"
DashboardPage,primary,"Write Journal",Quick actions,high,80,75,80,unknown,good,"Show last entry preview; add streak indicator"
DashboardPage,primary,"Meditate",Quick actions,high,80,75,80,unknown,good,"Show today's meditation; add streak"
DashboardPage,secondary,"View All Sessions",Sessions widget,medium,70,60,75,unknown,fair,"Backend stubbed - show empty state or remove"
DashboardPage,secondary,"Find Matches",Connections widget,medium,65,55,70,unknown,poor,"Matching not implemented - remove or mark 'Coming Soon'"
MoodPage,primary,"Save Mood",Form submit,high,85,80,85,unknown,excellent,"Add mood insights after save; suggest activities"
MoodPage,secondary,"View History",Navigation,medium,80,75,80,unknown,good,"Add chart preview; improve date filtering"
JournalPage,primary,"New Entry",Navigation,high,85,80,85,unknown,excellent,"Add writing prompts; show last entry preview"
JournalPage,primary,"Save Entry",Form submit,high,85,80,85,unknown,excellent,"Add auto-save; improve formatting options"
JournalPage,secondary,"Add Tags",Form helper,medium,75,70,75,unknown,good,"Suggest tags; improve tag selection UX"
MeditationPage,primary,"Start Meditation",Timer start,high,85,80,85,unknown,excellent,"Add ambient sound selection; show streak"
MeditationPage,primary,"Begin Session",Preset select,high,85,80,85,unknown,excellent,"Add guided meditations; show popularity"
MeditationPage,secondary,"View Logs",Navigation,medium,75,70,75,unknown,good,"Show total time summary; add calendar view"
SessionsPage,primary,"Book Session",Session list,high,40,35,75,unknown,poor,"Backend stubbed - remove or implement booking flow"
SessionsPage,secondary,"View Details",Session cards,medium,50,45,70,unknown,poor,"Mock data - remove fake sessions"
ConnectionsPage,primary,"Connect",Match cards,high,45,40,75,unknown,poor,"Matching not implemented - remove or mark 'Coming Soon'"
ConnectionsPage,secondary,"View Profile",Match cards,medium,50,45,70,unknown,poor,"Mock matches - remove fake data"
NotificationsPage,primary,"Mark as Read",Notification list,high,75,70,80,unknown,good,"Add bulk actions; improve notification grouping"
NotificationsPage,secondary,"Settings",Navigation,medium,70,65,75,unknown,fair,"Link to notification preferences"
ProfilePage,primary,"Edit Profile",Profile header,high,80,75,80,unknown,good,"Add photo upload preview; improve editing flow"
ProfilePage,primary,"Upload Avatar",Profile photo,high,80,75,80,unknown,good,"Add cropping tool; show size requirements"
ProfilePage,secondary,"View Stats",Profile content,medium,75,70,75,unknown,good,"Add more metrics; improve visualization"
SettingsPage,primary,"Save Changes",Form submit,high,80,75,85,unknown,good,"Auto-save working - consider removing explicit save"
SettingsPage,secondary,"Reset to Defaults",Form helper,low,70,65,70,unknown,fair,"Implement reset functionality"
AboutPage,primary,"Join Our Team",Careers section,medium,70,65,75,unknown,fair,"Link to careers page; add open positions count"
AboutPage,secondary,"Learn More",Vision section,medium,65,60,70,unknown,fair,"Add specific impact metrics"
BusinessPage,primary,"Contact Sales",Hero section,high,75,70,80,unknown,good,"Add pricing starting point; improve value prop"
BusinessPage,primary,"View Solutions",Solutions grid,high,70,65,75,unknown,good,"Add solution comparisons; improve CTAs"
CorporatePage,primary,"Book Demo",Hero section,high,75,70,80,unknown,good,"Add calendar integration; show demo outline"
CorporatePage,secondary,"View Pricing",Offerings section,medium,65,60,70,unknown,fair,"Add pricing tiers; improve transparency"
BlogsPage,primary,"Read More",Blog cards,high,70,65,75,unknown,good,"Add reading time; improve preview text"
BlogsPage,secondary,"Subscribe",Page footer,medium,65,60,70,unknown,fair,"Non-functional - implement newsletter signup"
BlogPostPage,primary,"Share Article",Article header,medium,70,65,75,unknown,good,"Add social share options; improve copy link"
BlogPostPage,secondary,"Leave Comment",Article footer,medium,60,55,70,unknown,poor,"Non-functional - implement comments or remove"
CoursesPage,primary,"Enroll Now",Course cards,high,50,45,75,unknown,poor,"Enrollment not implemented - mark 'Coming Soon' or remove"
CoursesPage,secondary,"View Details",Course cards,medium,70,65,75,unknown,good,"Improve course preview; add syllabus"
CourseDetailsPage,primary,"Enroll in Course",Course header,high,50,45,75,unknown,poor,"Enrollment not implemented - remove or mark 'Coming Soon'"
CourseDetailsPage,secondary,"View Curriculum",Course content,medium,75,70,75,unknown,good,"Expand curriculum preview; add instructor info"
ContactPage,primary,"Send Request",Form submit,high,60,55,80,unknown,poor,"Non-functional - implement form submission or remove"
ContactPage,secondary,"Call Us",Contact info,medium,75,70,75,unknown,good,"Add click-to-call; show availability"
CareersPage,primary,"Apply Now",Job cards,high,55,50,75,unknown,poor,"Application flow not implemented - add form or external link"
CareersPage,secondary,"Learn More",Job cards,medium,65,60,70,unknown,fair,"Add job description modal; improve requirements"
StudentCounsellingPage,primary,"Book Counselling",Hero section,high,75,70,80,unknown,good,"Add pricing; show counsellor availability"
StudentCounsellingPage,secondary,"View Services",Service cards,medium,70,65,75,unknown,good,"Add service details; improve benefit descriptions"
AstrologyDashboard,primary,"Book Consultation",Dashboard header,high,35,30,75,unknown,poor,"Backend stubbed - remove or mark 'Coming Soon'"
AstrologyDashboard,secondary,"View Reports",Dashboard sections,medium,40,35,70,unknown,poor,"Fake data - remove mock reports"
AdminDashboard,primary,"View Analytics",Dashboard sections,high,40,35,75,unknown,poor,"Backend stubbed - remove fake metrics"
AdminDashboard,secondary,"Manage Users",Dashboard sections,medium,45,40,70,unknown,poor,"Non-functional - implement or remove"
NotFoundPage,primary,"Go Home",404 content,high,80,75,80,unknown,good,"Add alternative navigation options"
NotFoundPage,secondary,"Search",404 content,medium,75,70,75,unknown,good,"Improve search functionality; add suggestions"
